key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
#,HyurMidlander[Male],HyurMidlander[Female],HyurMidlander[LastName],HyurHighlander[Male],HyurHighlander[Female],HyurHighlander[LastName],Elezen[Male],Elezen[Female],ElezenWildwood[LastName],ElezenDuskwight[LastName],MiqoteSun[Male],MiqoteSun[Female],MiqoteSun[MaleLastName],MiqoteSun[FemaleLastName],MiqoteMoon[Male],MiqoteMoon[Female],MiqoteMoon[Lastname],LalafellPlainsfolk[FirstNameStart],LalafellPlainsfolk[LastNameStart],LalafellPlainsfolk[EndOfNames],LalafellDunesfolk[Male],LalafellDunesfolk[MaleLastName],LalafellDunesfolk[Female],LalafellDunesfolk[FemaleLastName],RoegadynSeaWolf[Male],RoegadynSeaWolf[MaleLastName],RoegadynSeaWolf[Female],RoegadynSeaWolf[FemaleLastName],RoegadynHellsguard[FirstName],RoegadynHellsguard[MaleLastName],RoegadynHellsguard[FemaleLastName],AuRaRaen[Male],AuRaRaen[Female],AuRaRaen[LastName],AuRaXaela[Male],AuRaXaela[Female],AuRaXaela[LastName],HrothgarHellions[FirstName],HrothgarHellions[LastName],HrothgarLost[FirstName],HrothgarLost[LastName],Viera[FirstName],VieraRava[LastName],VieraVeena[LastName]
offset,0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104,108,112,116,120,124,128,132,136,140,144,148,152,156,160,164,168,172
int32,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str
0,"安賽爾梅特","赫敏","Abbey","維拉海爾姆","阿達拉","Alvey","艾貝坦","阿爾布瓦茲","Alamenain","Alambertel","阿・提卡","阿・琳波","Tia","Taqa","內烏・阿","內烏","Jawantal","阿","An","阿卡","比比","亞恩","芭","芭","艾利爾維恩","Lonwoerdsyn","狄爾佛希斯","Lonwoerdwyn","丹興","Coeurl","Herring","赤城","葵","Kaneuchi","阿巴哈","巴古兒赤","Adarkim","伊維察","Amira","達沃爾","Zlatasch","克琳","Hyskaris","Roda"
1,"克萊雷博爾德","艾莉森","Abel","維拉馬爾","阿拉爾博塔","Archer","阿爾德里克","阿芒迪娜","Arscelin","Alboichamps","黎・提卡","碧・妮姆莉","Tia","Dhen","密亞・托","密亞","Molkot","阿比","Aro","巴斯","布布","貝塔","比","恰","埃利福魯斯克","Wastwebbsyn","埃爾納希斯","Wastwebbwyn","萬德靈","Buffalo","Salmon","一畝","薊","Akiudo","阿嘎斯勒台","巴爾呼金","Angura","馬蒂亞","Azora","蒂霍米爾","Liubasch","克廷","Eryut","Lesrekta"
2,"羅德維卡斯","蓋娃","Ackerman","維雷爾姆","阿達琳德","Ashdale","亞歷克蘇瓦","阿梅莉娜","Asturmaux","Archevauliere","雅・利加","卡・蘭麥雅","Tia","Rhiki","馬夏・托","馬夏","Mhakaracca","阿帕","Ato","奇奧","恰恰","多亞","布","妲","菲利爾森","Wistweinsyn","弗魯爾希斯","Wistweinwyn","斯派拉靈","Chocobo","Trout","右岸","紫陽","Oshidari","阿格沙台","巴爾庫金","Arulaq","奧索裡奧","Avesna","利裡姆","Brankasch","阿莉絲","Camoa","Arda"
3,"塔蘭","吉爾達","Addock","瓦因博德","阿德蕾娜","Ashe","安托瓦諾","阿芒妮","Aubaints","Auberlaint","茶・利加","德・旺嘉莉","Tia","Rhof","茹布・阿","茹布","Epocan","巴","Bu","基恩","切切","多加","恰","芙","菲厄穆爾","Wuntwilfsyn","弗雷希斯","Wuntwilfwyn","波若溫","Aurochs","Whale","右京","花鳥","Gakuto","阿古扎木","巴烏古兒赤","Avagnar","弗拉季斯加","Azorya","克雷西米爾","Tirasch","維伊絲","Muscadet","Ymir"
4,"奧爾德斯","茉特","Allen","維斯卡德","艾貝","Ayers","阿里斯蒙","阿米安娜","Aubierault","Aucheforne","伊・拉特","艾・妮布妮帕","Tia","Rahz","拉卡・阿","拉卡","Nelhah","茶","Buli","古達","可可","菲諾","丘","伊","菲利爾斯奇夫","Untawhasyn","菲利爾希斯","Untawhawyn","洛靈","Bull","Dolphin","雨月","菖蒲","Ushikai","雅布合","孛魯德","Bairon","內納德","Astana","多布","Ratyasch","露伊","Atoel","Bosco"
5,"亞伯拉罕","塞西莉亞","Allond","維森坎德","艾里娜","Bailey","阿耳曼泰爾","阿斯特蕾勒","Aubrenard","Bamponcet","碧・拉特","芙・瑪裡波","Tia","Hena","納吉・利","納吉","Amariyo","杜","Buoy","霍伊","達達","伊薩","達","嘉","海爾布漢斯","Ubyltusyn","吉姆希斯","Ubyltuwyn","萊京","Buck","Clam","牛伏","淡雪","Kataribe","林丹","孛爾只斤","Bayaqud","茲拉坦","Arodica","德西米爾","Slanasch","夏拉","Bysnoe","Gucuma"
6,"曼賽爾","阿米絲","Arkwright","沃爾坎","艾諾爾","Baines","阿蒂裡烏","阿特魯娜","Aurifort","Bardelaurain","奧・恰達","古・柯恩娜拉","Tia","Tyata","奇特・阿","奇特","Gamduhla","艾","Dala","伊珀","迪迪","焦尼","德","柯","荷爾斯克蓋斯","Sykursyn","哈爾德希斯","Sykurwyn","瑤寧","Antelope","Wave","雨讀","杏","Bakuro","魯夫山","孛拉格琴","Bolir","托普利察","Amilan","斯拉薩克","Enyasch","蕾娜","Dei-Ijla","Kisne"
